,count,real,real_percent,score,score_percent,true
COUNT,2.0,2.0,100.0,0.0,0.0,0.0
COLOR,0.0,0.0,0.0,0.0,0.0,0.0
ORGAN,8.0,7.0,87.5,0.0,0.0,0.0
PRES,47.0,47.0,100.0,0.0,0.0,0.0
PLANE,14.0,14.0,100.0,0.7142857142857143,71.4,10.0
MODALITY,16.0,16.0,100.0,0.0,0.0,0.0
POS,53.0,53.0,100.0,0.09433962264150944,9.4,5.0
ABN,18.0,18.0,100.0,0.0,0.0,0.0
SIZE,5.0,5.0,100.0,0.0,0.0,0.0
OTHER,15.0,15.0,100.0,0.0,0.0,0.0
ATTRIB,4.0,4.0,100.0,0.0,0.0,0.0
